Oración original,Label original,Puntaje positivo,Puntaje negativo,COA,Resultado de inferencia,Tiempo de ejecución
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,N/A,0.382,0.0,6.536034643425566,Neutral,0.0009992122650146484
reading my kindle love it lee childs is good read,N/A,0.47,0.0,7.717227102601691,Positive,0.0
ok first assesment of the kindle it fucking rocks,N/A,0.216,0.0,5.4406248230777,Neutral,0.001001119613647461
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,N/A,0.204,0.135,5.203141847872734,Neutral,0.0
fair enough but i have the kindle and i think it s perfect,N/A,0.456,0.0,7.477906466678678,Positive,0.0
no it is too big i m quite happy with the kindle,N/A,0.281,0.155,5.478784778559743,Neutral,0.0009982585906982422
fuck this economy i hate aig and their non loan given asses,N/A,0.0,0.444,2.708451916354024,Negative,0.0
jquery is my new best friend,N/A,0.649,0.0,8.218920394270564,Positive,0.0
loves twitter,N/A,0.787,0.0,8.120851563478519,Positive,0.0
how can you not love obama he makes jokes about himself,N/A,0.139,0.234,4.691342988178292,Neutral,0.0
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,N/A,0.127,0.182,4.851712216056559,Neutral,0.0
house correspondents dinner was last night whoopi barbara amp sherri went obama got a standing ovation,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
watchin espn jus seen this new nike commerical with a puppet lebron sh t was hilarious lmao,N/A,0.337,0.0,6.139422052243628,Neutral,0.0
dear nike stop with the flywire that shit is a waste of science and ugly love,N/A,0.245,0.43,4.4395642602474545,Neutral,0.0009992122650146484
lebron best athlete of our generation if not all time basketball related i don t want to get into inter sport debates about __,N/A,0.216,0.0,5.4406248230777,Neutral,0.0
i was talking to this guy last night and he was telling me that he is a die hard spurs fan he also told me that he hates lebron james,N/A,0.067,0.238,4.515937109206204,Neutral,0.001001119613647461
i love lebron,N/A,0.808,0.0,8.155383862538992,Positive,0.0
lebron is a beast but i m still cheering the a til the end,N/A,0.331,0.0,6.093583674428928,Neutral,0.0
lebron is the boss,N/A,0.0,0.0,4.999999999999997,Neutral,0.0010006427764892578
lebron is a hometown hero to me lol i love the lakers but let s go cavs lol,N/A,0.488,0.0,8.067983250576495,Positive,0.0
lebron and zydrunas are such an awesome duo,N/A,0.369,0.0,6.410879834539637,Neutral,0.0
lebron is a beast nobody in the nba comes even close,N/A,0.0,0.0,4.999999999999997,Neutral,0.0009989738464355469
downloading apps for my iphone so much fun there literally is an app for just about anything,N/A,0.183,0.0,5.315237435174309,Neutral,0.0
good news just had a call from the visa office saying everything is fine what a relief i am sick of scams out there stealing,N/A,0.225,0.312,4.664589737189696,Neutral,0.0
awesome come back from via,N/A,0.506,0.0,8.332597250670025,Positive,0.00099945068359375
in montreal for a long weekend of r amp r much needed,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
booz allen hamilton has a bad ass homegrown social collaboration platform way cool ttiv,N/A,0.422,0.0,6.988020604860603,Positive,0.0010001659393310547
mluc customer innovation award winner booz allen hamilton,N/A,0.664,0.0,8.19793573385267,Positive,0.0
i current use the nikon d and love it but not as much as the canon d d i chose the d for the video feature my mistake,N/A,0.101,0.121,4.960168936684153,Neutral,0.0010001659393310547
google is always a good place to look should ve mentioned i worked on the mustang w my dad,N/A,0.162,0.0,5.247115272181924,Neutral,0.0
played with an android google phone the slide out screen scares me i would break that fucker so fast still prefer my iphone,N/A,0.085,0.238,4.546917122174958,Neutral,0.0
us planning to resume the military tribunals at guantanamo bay only this time those on trial will be aig execs and chrysler debt holders,N/A,0.0,0.098,4.908298911354923,Neutral,0.0010001659393310547
omg so bored amp my tattoooos are so itchy help aha,N/A,0.185,0.319,4.428155255745115,Neutral,0.0
i m itchy and miserable,N/A,0.0,0.841,1.7949253110878673,Negative,0.0010004043579101562
no i m not itchy for now maybe later lol,N/A,0.391,0.186,5.809763148045006,Neutral,0.0
rt i love the nerdy stanford human biology videos makes me miss school,N/A,0.263,0.175,5.324820735574733,Neutral,0.0
has been a bit crazy with steep learning curve but lyx is really good for long docs for anything shorter it would be insane,N/A,0.145,0.178,4.908754187764326,Neutral,0.0
i m listening to p y t by danny gokey lt lt lt aww he s so amazing i lt him so much,N/A,0.245,0.0,5.5708601021175275,Neutral,0.001001596450805664
is going to sleep then on a bike ride,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
cant sleep my tooth is aching,N/A,0.0,0.39,3.3823227035458823,Neutral,0.0
blah blah blah same old same old no plans today going back to sleep i guess,N/A,0.0,0.368,3.5983283014397975,Neutral,0.0009989738464355469
glad i didnt do bay to breakers today it s freaking degrees in san francisco wtf,N/A,0.146,0.32,4.268337361003004,Neutral,0.0
obama administration must stop bonuses to aig ponzi schemers,N/A,0.281,0.172,5.421465224386085,Neutral,0.0
started to think that citi is in really deep s amp t are they gonna survive the turmoil or are they gonna be the next aig,N/A,0.0,0.098,4.908298911354923,Neutral,0.0010006427764892578
shaunwoo hate n on aig,N/A,0.0,0.552,1.68339655632714,Negative,0.0
you will not regret going to see star trek it was awesome,N/A,0.391,0.0,6.628242739435342,Neutral,0.0
annoying new trend on the internets people picking apart michael lewis and malcolm gladwell nobody wants to read that,N/A,0.0,0.13,4.840146119032421,Neutral,0.0009989738464355469
highly recommend by malcolm gladwell,N/A,0.411,0.0,6.852187559877032,Positive,0.0
blink by malcolm gladwell amazing book and the tipping point,N/A,0.297,0.0,5.859081495272414,Neutral,0.0
malcolm gladwell might be my new man crush,N/A,0.0,0.186,4.674250279828252,Neutral,0.0
omg the commercials alone on espn are going to drive me nuts,N/A,0.0,0.301,4.115390425760061,Neutral,0.0
playing with twitter api sounds fun may need to take a class or find a new friend who like to generate results with api code,N/A,0.362,0.0,6.347466538891686,Neutral,0.0
hello twitter api,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
because the twitter api is slow and most client s aren t good,N/A,0.24,0.0,5.546971085469532,Neutral,0.0
yahoo answers can be a butt sometimes,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
is scrapbooking with nic d,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
rt five things wolfram alpha does better and vastly different than google,N/A,0.209,0.0,5.412083641575623,Neutral,0.0009963512420654297
just changed my default pic to a nike basketball cause bball is awesome,N/A,0.272,0.0,5.710977016800301,Neutral,0.0
rt was just told that nike layoffs started today,N/A,0.0,0.0,4.999999999999997,Neutral,0.0009999275207519531
back when i worked for nike we had one fav word just do it,N/A,0.2,0.0,5.376940515576785,Neutral,0.0
by the way i m totally inspired by this freaky nike commercial,N/A,0.25,0.179,5.254101493730697,Neutral,0.0
class the d is supposed to come today,N/A,0.0,0.0,4.999999999999997,Neutral,0.0010001659393310547
needs someone to explain lambda calculus to him,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
took the graduate field exam for computer science today nothing makes you feel like more of an idiot than lambda calculus,N/A,0.1,0.142,4.90895913923852,Neutral,0.0
shout outs to all east palo alto for being in the buildin karizmakaze cal gta also thanks to profits of doom universal hempz cracka,N/A,0.197,0.092,5.274380063516589,Neutral,0.0009999275207519531
yeahhhhhhhhh i wouldn t really have lived in east palo alto if i could have avoided it i guess it s only for the summer,N/A,0.0,0.112,4.88086439600647,Neutral,0.0
great stanford course thanks for making it available to the public really helpful and informative for starting off,N/A,0.402,0.0,6.748049504093629,Positive,0.0010004043579101562
work til pm lets go lakers,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
damn you north korea,N/A,0.0,0.474,2.208693383728507,Negative,0.0
can we just go ahead and blow north korea off the map already,N/A,0.0,0.0,4.999999999999997,Neutral,0.0009996891021728516
north korea please cease this douchebaggery china doesn t even like you anymore,N/A,0.324,0.0,6.041867795179161,Neutral,0.0
why the hell is pelosi in freakin china and on whose dime,N/A,0.0,0.295,4.153445062973974,Neutral,0.0
are you burning more cash than chrysler and gm stop the financial tsunami where bailout means taking a handout,N/A,0.0,0.184,4.681263785290544,Neutral,0.001001119613647461
insects have infected my spinach plant,N/A,0.0,0.39,3.3823227035458823,Neutral,0.0
wish i could catch every mosquito in the world n burn em slowly they been bitin the shit outta me day mosquitos are the assholes of insects,N/A,0.206,0.117,5.254434542157125,Neutral,0.0009989738464355469
just got back from church and i totally hate insects,N/A,0.0,0.333,3.8912766403141315,Neutral,0.0
just got mcdonalds goddam those eggs make me sick o yeah laker up date go lakers not much of an update well it s true so suck it,N/A,0.189,0.28,4.644224438078744,Neutral,0.0010008811950683594
omgg i ohhdee want mcdonalds damn i wonder if its open lol,N/A,0.297,0.196,5.414695314325592,Neutral,0.0
history exam studying ugh,N/A,0.0,0.483,2.0344739739318594,Negative,0.0
i hate revision it s so boring i am totally unprepared for my exam tomorrow things are not looking good,N/A,0.0,0.394,3.3397695641837957,Neutral,0.0010006427764892578
higher physics exam tommorow not lookin forward to it much,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
it s a bank holiday yet i m only out of work now exam season sucks,N/A,0.178,0.164,5.0401022321429005,Neutral,0.0010013580322265625
cheney and bush are the real culprits,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
life s a bitch and so is dick cheney p bipart tlot tcot hhrs gop dnc,N/A,0.0,0.401,3.263236589660365,Negative,0.0
dick cheney s dishonest speech about torture terror and obama fred kaplan slate,N/A,0.0,0.641,1.7704168081826948,Negative,0.0009987354278564453
the republican party is a bunch of anti abortion zealots who couldn t draw flies to a dump neal boortz just now on the radio,N/A,0.099,0.245,4.543509585549094,Neutral,0.0
is twitter s connections api broken some tweets didn t make it to twitter,N/A,0.0,0.22,4.542588952403908,Neutral,0.0
i srsly hate the stupid twitter api timeout thing soooo annoying,N/A,0.0,0.583,1.706461592860472,Negative,0.0009999275207519531
i really liked learning jquery book is worth a look too,N/A,0.416,0.0,6.912794300063599,Positive,0.0
very interesting ad from adobe by goodby silverstein amp partners youtube adobe cs le sens propre,N/A,0.166,0.0,5.259528549956937,Neutral,0.0
goodby silverstein agency new site great,N/A,0.451,0.0,7.397996725767742,Positive,0.0009999275207519531
rt goodby silverstein s new site i enjoy it nice find,N/A,0.462,0.0,7.5773970495385,Positive,0.0
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,N/A,0.267,0.0,5.68355521366254,Neutral,0.0
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,N/A,0.286,0.0,5.791611183232492,Neutral,0.0009996891021728516
zomg i have a g,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
ok so lots of buzz from io but how lucky are they a free g,N/A,0.494,0.0,8.197576170909567,Positive,0.0
just got a free g android at google i o,N/A,0.398,0.0,6.703428890411988,Positive,0.0010004043579101562
guess i ll be retiring my g and start using my developer g woot googleio,N/A,0.203,0.0,5.388416820881045,Neutral,0.0
i am happy for philip being at googleio today,N/A,0.346,0.0,6.21109335417052,Neutral,0.0
lakers played great cannot wait for thursday night lakers vs,N/A,0.448,0.0,7.351583976960337,Positive,0.0
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,N/A,0.258,0.127,5.448671825637371,Neutral,0.0
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,N/A,0.0,0.149,4.790602673706481,Neutral,0.0
watching night at the museum lmao,N/A,0.438,0.0,7.203895803373325,Positive,0.0009996891021728516
i loved night at the museum,N/A,0.494,0.0,8.197576170909567,Positive,0.0
just got back from the movies went to see the new night at the museum with rachel it was good,N/A,0.132,0.0,5.1647082116707645,Neutral,0.0
i will take you on a date to see night at the museum whenever you want it looks soooooo good,N/A,0.208,0.0,5.408097104923952,Neutral,0.0
no watching the night at the museum getting really good,N/A,0.238,0.164,5.251996846481849,Neutral,0.0
night at the museum wolverine and junk food perfect monday,N/A,0.291,0.0,5.82182746112943,Neutral,0.0
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,N/A,0.388,0.05,6.551097922831283,Neutral,0.0
night at the museum tonite instead of up oh well that yr old better enjoy it lol,N/A,0.458,0.0,7.5103715706522065,Positive,0.0
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,N/A,0.088,0.098,4.983069607900783,Neutral,0.00099945068359375
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,N/A,0.203,0.0,5.388416820881045,Neutral,0.0
oh yes but if gm dies it will only be worth more boo hahaha,N/A,0.464,0.0,7.611857686353592,Positive,0.0
time warner cable is down again rd time since memorial day bummer,N/A,0.0,0.191,4.656499260790814,Neutral,0.001001596450805664
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,N/A,0.152,0.065,5.17358442405465,Neutral,0.0
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,N/A,0.0,0.313,4.035693599942615,Neutral,0.0010001659393310547
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,N/A,0.0,0.343,3.8131459984094445,Neutral,0.0009984970092773438
time warner has the worse customer service ever i will never use them again,N/A,0.0,0.205,4.603744763787268,Neutral,0.0
time warner is the devil worst possible time for the internet to go out,N/A,0.0,0.415,3.0994096104934274,Negative,0.0010027885437011719
fuck no internet damn time warner,N/A,0.0,0.737,1.9210561837891171,Negative,0.0
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,N/A,0.0,0.195,4.641802785954967,Neutral,0.0
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,N/A,0.291,0.127,5.619748323060578,Neutral,0.0010008811950683594
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,N/A,0.207,0.115,5.262753596887257,Neutral,0.0
time warner s hd line up is crap,N/A,0.0,0.302,4.108939504197183,Neutral,0.0
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,N/A,0.0,0.315,4.0219077951830995,Neutral,0.001001596450805664
time warner cable slogan where calling it a day at pm happens,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
recovering from surgery wishing was here,N/A,0.275,0.0,5.727796044392882,Neutral,0.0009984970092773438
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,N/A,0.099,0.282,4.356078220997252,Neutral,0.0010004043579101562
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,N/A,0.195,0.357,4.349489309969589,Neutral,0.0
my dentist is great but she s expensive,N/A,0.298,0.0,5.865372800007714,Neutral,0.0
is studing math tomorrow exam and dentist,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
my dentist was wrong wrong,N/A,0.0,0.674,1.8167738801749904,Negative,0.0
going to the dentist later,N/A,0.0,0.0,4.999999999999997,Neutral,0.0009992122650146484
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,N/A,0.184,0.117,5.177911315142181,Neutral,0.0
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,N/A,0.0,0.15,4.787847273823787,Neutral,0.0
safeway is very rock n roll tonight,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
the safeway bathroom still smells like ass,N/A,0.227,0.318,4.652601374737619,Neutral,0.0
at safeway on elkhorn they move like they re dead,N/A,0.169,0.291,4.5167182751588975,Neutral,0.00099945068359375
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,N/A,0.388,0.1,6.422470045596743,Neutral,0.0010001659393310547
found nothing at nike factory off to banana republic outlet,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
is lovin his nike already and that s only from running on the spot in his bedroom,N/A,0.0,0.0,4.999999999999997,Neutral,0.0009982585906982422
i finally got around to using jquery to make my bio collapse yay for slide animations,N/A,0.173,0.163,5.0281366796684175,Neutral,0.0
right lol we ll get there i have high expectations warren buffet style,N/A,0.203,0.0,5.388416820881045,Neutral,0.0
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,N/A,0.194,0.0,5.354486699702215,Neutral,0.0010006427764892578
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,N/A,0.151,0.0,5.21491174251385,Neutral,0.0
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,N/A,0.254,0.0,5.61542636484422,Neutral,0.0010020732879638672
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,N/A,0.384,0.0,6.556160189366163,Neutral,0.0
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,N/A,0.191,0.146,5.1297584347988225,Neutral,0.0
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,N/A,0.131,0.227,4.698486435604762,Neutral,0.0010006427764892578
we tried but time warner wasn t being nice so we recorded today,N/A,0.252,0.0,5.605313146066809,Neutral,0.0
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
wth i have never seen a line this loooong at time warner before ugh,N/A,0.0,0.383,3.453922915165156,Neutral,0.000997781753540039
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,N/A,0.146,0.123,5.0542637696324775,Neutral,0.0
naive bayes using em for text classification really frustrating,N/A,0.0,0.431,2.8934601202546126,Negative,0.0
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,N/A,0.049,0.0,5.023457195155776,Neutral,0.0010013580322265625
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,N/A,0.227,0.126,5.314210350955293,Neutral,0.0009987354278564453
just blocked united blood services using google voice they call more than those car warranty guys,N/A,0.148,0.111,5.085122135020846,Neutral,0.0
at amp t is complete fail,N/A,0.0,0.467,2.335979688977387,Negative,0.0
oh snap you work at at amp t don t you,N/A,0.0,0.0,4.999999999999997,Neutral,0.0010006427764892578
i really dont want at amp t phone service they suck when it comes to having a signal,N/A,0.0,0.253,4.389658737132938,Neutral,0.0
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,N/A,0.0,0.091,4.920888248943691,Neutral,0.0
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,N/A,0.053,0.171,4.755193206893865,Neutral,0.0009989738464355469
safari is fast even on my shitty at amp t tethering,N/A,0.0,0.286,4.208388816767507,Neutral,0.0
what is at amp t fucking up,N/A,0.0,0.0,4.999999999999997,Neutral,0.001001596450805664
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,N/A,0.123,0.366,3.853833541732637,Neutral,0.0
yay glad you got the phone still damn you at amp t,N/A,0.374,0.158,5.94933814496804,Neutral,0.0010013580322265625
talk is cheap bing that i ll stick with google,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,N/A,0.173,0.127,5.120349101611744,Neutral,0.0009965896606445312
i love google translator too d good day mate,N/A,0.587,0.0,8.289921285777062,Positive,0.0
reading on my new kindle,N/A,0.0,0.0,4.999999999999997,Neutral,0.0
my kindle came and i love it,N/A,0.457,0.0,7.494088893772706,Positive,0.0
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,N/A,0.328,0.045,6.040346271962115,Neutral,0.0
the real aig scandal,N/A,0.0,0.492,1.8465956191379735,Negative,0.0
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,N/A,0.512,0.0,8.331960483980788,Positive,0.0010013580322265625
barack obama shows his funny side gt gt great speech,N/A,0.651,0.0,8.216217049322346,Positive,0.0
