"sentence","positive_score","negative_score","positive_fuzzy","negative_fuzzy"
"obama s speech was pretty awesome last night","0.593","0.0","[0.0, 0.5321782178217823, 0.4678217821782177]","[1.0, 1.0, 1.0]"
"reading bill clinton fail obama win","0.336","0.31","[0.16831683168316833, 0.8316831683168316, 0.0]","[0.0, 0.0, 0.0]"
"obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries","0.323","0.0","[0.20049504950495053, 0.7995049504950495, 0.0]","[1.0, 1.0, 1.0]"
"obama s got jokes haha just got to watch a bit of his after dinner speech from last night i am in love with mr president","0.315","0.0","[0.22029702970297033, 0.7797029702970296, 0.0]","[1.0, 1.0, 1.0]"
"lebron james got in a car accident i guess just heard it on evening news wow i cannot believe it will he be ok","0.221","0.114","[0.452970297029703, 0.547029702970297, 0.0]","[0.0, 0.0, 0.0]"
"is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals","0.167","0.0","[0.5866336633663366, 0.4133663366336634, 0.0]","[1.0, 1.0, 1.0]"
"no lebron is the best","0.447","0.234","[0.0, 0.8935643564356436, 0.10643564356435639]","[0.0, 0.0, 0.0]"
"lebron is cool i like his personality he has good character","0.524","0.0","[0.0, 0.702970297029703, 0.297029702970297]","[1.0, 1.0, 1.0]"
"watching lebron highlights damn that niggas good","0.242","0.425","[0.400990099009901, 0.5990099009900989, 0.0]","[0.0, 0.0, 0.0]"
"lebron is murdering shit","0.0","0.798","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"lebron is a monsta and he is only smh the world ain t ready","0.169","0.155","[0.5816831683168316, 0.41831683168316836, 0.0]","[0.0, 0.0, 0.0]"
"when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players","0.307","0.0","[0.24009900990099015, 0.7599009900990098, 0.0]","[1.0, 1.0, 1.0]"
"kobe is good bt lebron has my vote","0.293","0.0","[0.27475247524752483, 0.7252475247524751, 0.0]","[1.0, 1.0, 1.0]"
"kobe is the best in the world not lebron","0.344","0.0","[0.14851485148514865, 0.8514851485148514, 0.0]","[1.0, 1.0, 1.0]"
"world cup access damn that is a good look","0.25","0.233","[0.38118811881188125, 0.6188118811881188, 0.0]","[0.0, 0.0, 0.0]"
"just bought my tickets for the fifa world cup in south africa its going to be a great summer","0.194","0.0","[0.5198019801980198, 0.4801980198019802, 0.0]","[1.0, 1.0, 1.0]"
"i have to go to booz allen hamilton for a hr meeting but then i get to go home","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"the great indian tamasha truly will unfold from may the result day for indian general election","0.333","0.0","[0.17574257425742576, 0.8242574257425742, 0.0]","[1.0, 1.0, 1.0]"
"i have the kindle i have seen pictures of the dx but haven t seen it in person i love my kindle i am on it everyday","0.205","0.088","[0.4925742574257426, 0.5074257425742573, 0.0]","[0.0, 0.0, 0.0]"
"such an awesome idea the continual learning program with a kindle","0.313","0.0","[0.2252475247524753, 0.7747524752475247, 0.0]","[1.0, 1.0, 1.0]"
"ooooh what model are you getting i have the d and love love love love it","0.627","0.0","[0.0, 0.4480198019801981, 0.5519801980198019]","[1.0, 1.0, 1.0]"
"the times of india the wonder that is india s election","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"good video from google on using search options","0.293","0.0","[0.27475247524752483, 0.7252475247524751, 0.0]","[1.0, 1.0, 1.0]"
"lol ah my skin is itchy damn lawnmowing","0.222","0.381","[0.4504950495049505, 0.5495049504950494, 0.0]","[0.0, 0.0, 0.0]"
"itchy back do not ya hate it","0.297","0.208","[0.2648514851485149, 0.735148514851485, 0.0]","[0.0, 0.0, 0.0]"
"stanford charity fashion show a top draw","0.535","0.0","[0.0, 0.6757425742574257, 0.32425742574257427]","[1.0, 1.0, 1.0]"
"stanford university s facebook profile is one of the most popular official university pages","0.205","0.0","[0.4925742574257426, 0.5074257425742573, 0.0]","[1.0, 1.0, 1.0]"
"lyx is cool","0.535","0.0","[0.0, 0.6757425742574257, 0.32425742574257427]","[1.0, 1.0, 1.0]"
"sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee","0.293","0.0","[0.27475247524752483, 0.7252475247524751, 0.0]","[1.0, 1.0, 1.0]"
"rt american idol fashion adam lambert tones down danny gokey cute","0.231","0.0","[0.4282178217821782, 0.5717821782178217, 0.0]","[1.0, 1.0, 1.0]"
"i love you danny gokey","0.583","0.0","[0.0, 0.5569306930693071, 0.4430693069306929]","[1.0, 1.0, 1.0]"
"so tired i didn t sleep we will at all last night","0.0","0.262","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"boarding plane for san francisco in hour hr flight blech","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"bonjour san francisco my back hurts from last night","0.0","0.279","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"with my best girl for a few more hours in san francisco mmmmmfamily is wonderful","0.397","0.0","[0.017326732673267342, 0.9826732673267327, 0.0]","[1.0, 1.0, 1.0]"
"f up big or go home aig","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"went to see the star trek movie last night very satisfying","0.248","0.0","[0.38613861386138615, 0.6138613861386139, 0.0]","[1.0, 1.0, 1.0]"
"i cannot wait going to see star trek tonight","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"star trek was as good as everyone said","0.293","0.0","[0.27475247524752483, 0.7252475247524751, 0.0]","[1.0, 1.0, 1.0]"
"am loving new malcolm gladwell book outliers","0.394","0.0","[0.024752475247524774, 0.9752475247524752, 0.0]","[1.0, 1.0, 1.0]"
"i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as we will","0.134","0.0","[0.6683168316831682, 0.3316831683168317, 0.0]","[1.0, 1.0, 1.0]"
"malcolm gladwell is a genius at tricking people into not realizing he is a fucking idiot","0.066","0.215","[0.8366336633663366, 0.16336633663366337, 0.0]","[0.0, 0.0, 0.0]"
"hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cannot read his shit","0.135","0.38","[0.6658415841584158, 0.3341584158415842, 0.0]","[0.0, 0.0, 0.0]"
"rt great article by malcolm gladwell","0.451","0.0","[0.0, 0.8836633663366337, 0.1163366336633663]","[1.0, 1.0, 1.0]"
"i seriously underestimated malcolm gladwell i want to meet this dude","0.117","0.342","[0.7103960396039604, 0.2896039603960396, 0.0]","[0.0, 0.0, 0.0]"
"i hate comcast right now everything is down cable internet amp phone ughh what am i to do","0.0","0.198","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"comcast sucks","0.0","0.714","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"the day i never have to deal with comcast again will rank as one of the best days of my life","0.181","0.0","[0.551980198019802, 0.448019801980198, 0.0]","[1.0, 1.0, 1.0]"
"did comcast fail again","0.0","0.538","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"curses the twitter api limit","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"now i can see why dave winer screams about lack of twitter api its limitations and access throttles","0.0","0.231","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"arg twitter api is making me crazy","0.0","0.286","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i am really loving the new search site wolfram alpha makes google seem so quaint","0.244","0.0","[0.39603960396039606, 0.6039603960396038, 0.0]","[1.0, 1.0, 1.0]"
"wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless","0.0","0.227","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"off to the nike factory","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"new nike muppet commercials are pretty cute why do we live together again","0.36","0.0","[0.10891089108910901, 0.891089108910891, 0.0]","[1.0, 1.0, 1.0]"
"oh those are awesome i so wish they weren t owned by nike","0.458","0.0","[0.0, 0.8663366336633663, 0.13366336633663364]","[1.0, 1.0, 1.0]"
"awesome seeing the show friday at the shoreline amphitheatre never seen nin before cannot wait","0.227","0.0","[0.4381188118811881, 0.5618811881188119, 0.0]","[1.0, 1.0, 1.0]"
"arhh it is weka bug and i spent almost two hours to find that out crappy me","0.0","0.194","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"hey bud np i do so love my d although i d love a d mkii more","0.587","0.0","[0.0, 0.5470297029702972, 0.4529702970297028]","[1.0, 1.0, 1.0]"
"just got us a d for the office d","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"just picked up my new canon d it is beautiful prepare for some seriously awesome photography","0.369","0.078","[0.08663366336633671, 0.9133663366336633, 0.0]","[0.0, 0.0, 0.0]"
"just got my new toy canon d love love love it","0.643","0.0","[0.0, 0.4084158415841585, 0.5915841584158416]","[1.0, 1.0, 1.0]"
"learning about lambda calculus","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"i am moving to east palo alto","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"atebits i just finished watching your stanford iphone class session i really appreciate it you rock","0.187","0.0","[0.5371287128712872, 0.46287128712871284, 0.0]","[1.0, 1.0, 1.0]"
"hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around","0.225","0.0","[0.4430693069306931, 0.5569306930693069, 0.0]","[1.0, 1.0, 1.0]"
"lakers tonight let us go","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"will the lakers kick the nuggets ass tonight","0.0","0.333","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"oooooooh north korea is in troubleeeee","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"wat the heck is north korea doing they just conducted powerful nuclear tests follow the link","0.157","0.0","[0.6113861386138614, 0.38861386138613857, 0.0]","[1.0, 1.0, 1.0]"
"listening to obama friggin north korea","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"i just realized we three monkeys in the white obama biden pelosi sarah palin","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"pelosi should stay in china and never come back","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"nancy pelosi gave the worst commencement speech i have ever heard yes i am still bitter about this","0.119","0.305","[0.7054455445544554, 0.29455445544554454, 0.0]","[0.0, 0.0, 0.0]"
"ugh the amount of times these stupid insects have bitten me grr","0.0","0.383","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"prettiest insects ever pink katydids","0.481","0.0","[0.0, 0.8094059405940596, 0.19059405940594049]","[1.0, 1.0, 1.0]"
"just got barraged by a horde of insects hungry for my kitchen light so scary","0.0","0.24","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"just had mcdonalds for dinner d it was goooood big mac meal","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"ahh yes lol ima tell my hubby to go get me sum mcdonalds","0.333","0.0","[0.17574257425742576, 0.8242574257425742, 0.0]","[1.0, 1.0, 1.0]"
"stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy","0.0","0.192","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"could go for a lot of mcdonalds i mean a lot","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"my exam went good your prayers worked","0.326","0.0","[0.1930693069306931, 0.806930693069307, 0.0]","[1.0, 1.0, 1.0]"
"only one exam left and i am so happy for it d","0.345","0.0","[0.14603960396039617, 0.8539603960396038, 0.0]","[1.0, 1.0, 1.0]"
"math review i am going to fail the exam","0.0","0.333","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"colin powell rocked yesterday on cbs cheney needs to shut the he will up and go home powell is a man of honor and served our country proudly","0.214","0.0","[0.4702970297029703, 0.5297029702970296, 0.0]","[1.0, 1.0, 1.0]"
"obviously not siding with cheney here","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"absolutely hilarious from","0.599","0.0","[0.0, 0.5173267326732675, 0.48267326732673255]","[1.0, 1.0, 1.0]"
"i never did thank you for including me in your top twitter authors you rock amp i new wave d","0.095","0.112","[0.7648514851485149, 0.23514851485148514, 0.0]","[0.0, 0.0, 0.0]"
"rt awesome jquery reference book for coda webdesign","0.369","0.0","[0.08663366336633671, 0.9133663366336633, 0.0]","[1.0, 1.0, 1.0]"
"i have been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them","0.238","0.085","[0.4108910891089109, 0.589108910891089, 0.0]","[0.0, 0.0, 0.0]"
"goodby silverstein s new site i enjoy it","0.39","0.0","[0.034653465346534684, 0.9653465346534653, 0.0]","[1.0, 1.0, 1.0]"
"wow everyone at the google i o conference got free g s with a month of unlimited service","0.392","0.0","[0.02970297029702973, 0.9702970297029703, 0.0]","[1.0, 1.0, 1.0]"
"dood i got a free google android phone at the i o conference the g","0.268","0.0","[0.33663366336633666, 0.6633663366336634, 0.0]","[1.0, 1.0, 1.0]"
"the g is amazing btw a huge improvement over the g","0.645","0.0","[0.0, 0.40346534653465355, 0.5965346534653465]","[1.0, 1.0, 1.0]"
"html demos lots of great stuff to come yes i am excited io googleio","0.479","0.0","[0.0, 0.8143564356435645, 0.18564356435643553]","[1.0, 1.0, 1.0]"
"yay happy place place place i love google","0.739","0.0","[0.0, 0.17079207920792094, 0.8292079207920791]","[1.0, 1.0, 1.0]"
"googleio o d bringing d graphics to the browser very nice tbh funfun","0.256","0.0","[0.3663366336633664, 0.6336633663366337, 0.0]","[1.0, 1.0, 1.0]"
"awesome viral marketing for funny people","0.636","0.0","[0.0, 0.42574257425742584, 0.5742574257425742]","[1.0, 1.0, 1.0]"
"saw night at the museum out of sheer desperation who is funding these movies","0.0","0.188","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"night at the museum pretty furkin good","0.55","0.0","[0.0, 0.6386138613861385, 0.36138613861386143]","[1.0, 1.0, 1.0]"
"watching night at the museum giggling","0.333","0.0","[0.17574257425742576, 0.8242574257425742, 0.0]","[1.0, 1.0, 1.0]"
"back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh","0.107","0.0","[0.7351485148514852, 0.2648514851485148, 0.0]","[1.0, 1.0, 1.0]"
"just watched night at the museum so stinkin cute","0.291","0.0","[0.2797029702970298, 0.7202970297029702, 0.0]","[1.0, 1.0, 1.0]"
"so night at the museum was awesome much better than part next weekend we will see up","0.318","0.0","[0.2128712871287129, 0.787128712871287, 0.0]","[1.0, 1.0, 1.0]"
"saw the new night at the museum and i loved it next is to go see up in d","0.196","0.0","[0.5148514851485149, 0.48514851485148514, 0.0]","[1.0, 1.0, 1.0]"
"it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think","0.0","0.217","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"as u may have noticed not too happy about the gm situation nor aig lehman et al","0.0","0.167","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"gm good riddance sad though","0.322","0.344","[0.202970297029703, 0.7970297029702971, 0.0]","[0.0, 0.0, 0.0]"
"i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"having the old coca cola guy on the gm board is stupid has heck tcot ala","0.0","0.185","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw","0.17","0.211","[0.5792079207920792, 0.42079207920792083, 0.0]","[0.0, 0.0, 0.0]"
"give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good","0.112","0.0","[0.7227722772277227, 0.2772277227722772, 0.0]","[1.0, 1.0, 1.0]"
"the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the","0.077","0.336","[0.8094059405940595, 0.19059405940594057, 0.0]","[0.0, 0.0, 0.0]"
"i own a gm car and it is junk as far as quality compared to a honda","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"sad day bankrupt gm","0.0","0.77","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"is upset about the whole gm thing life as i know it is so screwed up","0.0","0.341","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs","0.0","0.281","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"wftb joining a bit late my connection was down boo time warner","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"i am furious with time warner and their phone promotions","0.0","0.316","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"just got home from chick fil a with the boys damn my internets down stupid time warner","0.0","0.303","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"could time warner cable suck more no","0.0","0.519","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"pissed at time warner for causin me to have slow internet problems","0.0","0.408","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"ummm having some time warner problems","0.0","0.351","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment","0.104","0.233","[0.7425742574257427, 0.2574257425742574, 0.0]","[0.0, 0.0, 0.0]"
"rt the upside to time warner unhelpful phone operators superslow on site service crap that is not an upside","0.0","0.126","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"rt new time warner slogan time warner where we make you long for the days before cable","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"confirmed it is time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon","0.0","0.114","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"time warner epic fail","0.0","0.538","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i know how sad is that rt st day of hurricane season that is less scarey than govt taking over gm","0.0","0.234","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"gm files bankruptcy not a good sign","0.0","0.325","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"yankees won mets lost its a good day","0.512","0.178","[0.0, 0.7326732673267327, 0.2673267326732673]","[0.0, 0.0, 0.0]"
"my dentist appt today was actually quite enjoyable","0.313","0.0","[0.2252475247524753, 0.7747524752475247, 0.0]","[1.0, 1.0, 1.0]"
"i hate the effing dentist","0.0","0.552","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i hate going to the dentist","0.0","0.481","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i hate the dentist who invented them anyways","0.0","0.381","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"this dentist s office is cold","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"just applied at safeway yeeeee","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"safeway place is a nightmare right now bumming","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt","0.102","0.316","[0.7475247524752475, 0.2524752475247524, 0.0]","[0.0, 0.0, 0.0]"
"nike rocks i am super grateful for what i have done with them amp the european division of nike is beyond","0.289","0.0","[0.28465346534653474, 0.7153465346534652, 0.0]","[1.0, 1.0, 1.0]"
"have you tried nike v addictive","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"the nike training club beta iphone app looks very interesting","0.25","0.0","[0.38118811881188125, 0.6188118811881188, 0.0]","[1.0, 1.0, 1.0]"
"argghhhh why will not my jquery appear in safari bad safari","0.0","0.259","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i am ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js","0.245","0.172","[0.3935643564356436, 0.6064356435643563, 0.0]","[0.0, 0.0, 0.0]"
"super investors a great weekend read here from warren buffet oldie but a goodie","0.333","0.0","[0.17574257425742576, 0.8242574257425742, 0.0]","[1.0, 1.0, 1.0]"
"reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio","0.306","0.0","[0.24257425742574262, 0.7574257425742573, 0.0]","[1.0, 1.0, 1.0]"
"i mean i am down with notre dame if i have to it is a good school i d be closer to dan i d enjoy it","0.264","0.0","[0.34653465346534656, 0.6534653465346535, 0.0]","[1.0, 1.0, 1.0]"
"i cannot watch tv without a tivo and after all these years the time warner dvr still sucks","0.0","0.143","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"i d say some sports writers are idiots for saying roger federer is one of the best ever in tennis roger federer is the best ever in tennis","0.259","0.0","[0.35891089108910895, 0.6410891089108911, 0.0]","[1.0, 1.0, 1.0]"
"i still love my kindle but reading the new york times on it does not feel natural i miss the bloomingdale ads","0.178","0.111","[0.5594059405940595, 0.44059405940594054, 0.0]","[0.0, 0.0, 0.0]"
"i love my kindle no more stacks of books to trip over on the way to the loo","0.196","0.103","[0.5148514851485149, 0.48514851485148514, 0.0]","[0.0, 0.0, 0.0]"
"although today s keynote rocked for every great announcement at amp t shit on us just a little bit more","0.181","0.159","[0.551980198019802, 0.448019801980198, 0.0]","[0.0, 0.0, 0.0]"
"its not so much my obsession with cell phones but the iphone i am a slave to at amp t forever because of it","0.0","0.084","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"fuzzball is more fun than at amp t p","0.375","0.0","[0.07178217821782185, 0.9282178217821782, 0.0]","[1.0, 1.0, 1.0]"
"today is a good day to dislike at amp t vote out of office indeed","0.176","0.158","[0.5643564356435644, 0.4356435643564356, 0.0]","[0.0, 0.0, 0.0]"
"got my wave sandbox invite extra excited too bad i have class now but i will play with it soon enough io wave","0.241","0.089","[0.4034653465346535, 0.5965346534653464, 0.0]","[0.0, 0.0, 0.0]"
"looks like summize has gone down too many tweets from wwdc perhaps","0.185","0.0","[0.5420792079207921, 0.4579207920792079, 0.0]","[1.0, 1.0, 1.0]"
"thanks so much from one of your very happy kindle winners i was so surprised fabulous thank you best kathleen","0.658","0.0","[0.0, 0.37128712871287134, 0.6287128712871287]","[1.0, 1.0, 1.0]"
"man i kinda dislike apple right now case in point the iphone gs wish there was a video recorder app please","0.215","0.099","[0.46782178217821785, 0.5321782178217821, 0.0]","[0.0, 0.0, 0.0]"
"i have a kindle amp sony prs like it physical device feels good font is nice pg turns are snappy enuf ui a little klunky","0.301","0.0","[0.254950495049505, 0.745049504950495, 0.0]","[1.0, 1.0, 1.0]"
"the kindle seems the best ereader but will it work in the uk and where can i get one","0.133","0.0","[0.6707920792079208, 0.3292079207920792, 0.0]","[1.0, 1.0, 1.0]"
"i have a google addiction thank you for pointing that out hahaha","0.433","0.0","[0.0, 0.9282178217821783, 0.07178217821782171]","[1.0, 1.0, 1.0]"
"dearest you rich bastards the visa card you sent me doesn t work why screw a little guy like me","0.339","0.194","[0.1608910891089109, 0.8391089108910892, 0.0]","[0.0, 0.0, 0.0]"
"excited about seeing bobby flay and guy fieri tomorrow at the great american food amp music fest","0.302","0.0","[0.25247524752475253, 0.7475247524752475, 0.0]","[1.0, 1.0, 1.0]"
"gonna go see bobby flay moro at shoreline eat and drink gonna be good","0.182","0.0","[0.5495049504950495, 0.45049504950495045, 0.0]","[1.0, 1.0, 1.0]"
"cannot wait for the great american food and music festival at shoreline tomorrow mmm katz pastrami and bobby flay yes please","0.42","0.0","[0.0, 0.9603960396039605, 0.0396039603960395]","[1.0, 1.0, 1.0]"
"my dad was in ny for a day we ate at mesa grill last night and met bobby flay so much fun except i completely lost my voice today","0.115","0.083","[0.7153465346534653, 0.2846534653465347, 0.0]","[0.0, 0.0, 0.0]"
"fighting with latex again","0.0","0.455","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"we love you too and don t want you to die latex the devil","0.241","0.364","[0.4034653465346535, 0.5965346534653464, 0.0]","[0.0, 0.0, 0.0]"
"hours hours of inkscape crashing normally solid as a rock hours of latex complaining at the slightest thing i cannot take any more","0.071","0.08","[0.8242574257425743, 0.1757425742574257, 0.0]","[0.0, 0.0, 0.0]"
"shit s hitting the fan in iran craziness indeed iranelection","0.159","0.428","[0.6064356435643564, 0.3935643564356435, 0.0]","[0.0, 0.0, 0.0]"
"monday already iran may implode kitchen is a disaster seems happy had a nice weekend and is great whoop","0.383","0.148","[0.051980198019802026, 0.948019801980198, 0.0]","[0.0, 0.0, 0.0]"
"getting ready to test out some burger receipes this weekend bobby flay has some great receipes to try thanks bobby","0.358","0.0","[0.11386138613861396, 0.886138613861386, 0.0]","[1.0, 1.0, 1.0]"
"i lam so in love with bobby flay he is my favorite rt you need a place in phoenix we have great peppers here","0.379","0.0","[0.061881188118811936, 0.9381188118811881, 0.0]","[1.0, 1.0, 1.0]"
"i just created my first latex file from scratch that didn t work out very we will see it is a great time waster","0.243","0.0","[0.39851485148514854, 0.6014851485148514, 0.0]","[1.0, 1.0, 1.0]"
"using linux and loving it so much nicer than windows looking forward to using the wysiwyg latex editor","0.307","0.0","[0.24009900990099015, 0.7599009900990098, 0.0]","[1.0, 1.0, 1.0]"
"after using latex a lot any other typeset mathematics just looks hideous","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"on that note i hate word i hate pages i hate latex there i said it i hate latex all you texn rds can come kill me now","0.0","0.52","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"ahhh back in a real text editing environment i lt latex","0.0","0.0","[1.0, 0.0, 0.0]","[1.0, 1.0, 1.0]"
"trouble in iran i see hmm iran iran so far away flockofseagullsweregeopoliticallycorrect","0.0","0.213","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
"reading the tweets coming out of iran the whole thing is terrifying and incredibly sad","0.0","0.353","[1.0, 0.0, 0.0]","[0.0, 0.0, 0.0]"
